OBJECTID,FACILITYID,FIPSCODE,GEOID,CENSUSTRACT,GEOGRAPHICAREANAME,POPTOTAL,HOUSEHOLDCOUNT,RACEHISPANICORIGIN,RACEHISPANICRATIO,RACEWHITENONHISP,RACEWHITERATIO,RACEBLACKNONHISP,RACEBLACKRATIO,RACEASIANNONHISP,RACEASIANRATIO,RACEOTHER,RACEOTHERRATIO,RACEBIPOC,RACEBIPOCRATIO,EQUITYSCORERACE,INCMEDIANINCOME,EQUITYSCOREINCOME,INCMEDIANHISPANIC,INCMEDIANWHITE,INCMEDIANBLACK,INCMEDIANASIAN,INCMEDIANOTHER,EQUITYSCORECOMBINED,LANGGROUPPOPULATION,LEPTOTAL,LEPRATIO,LEPSPANISH,LEPSPANISHRATIO,LEPINDOEUROPEAN,LEPINDOEUROPEANRATIO,LEPASIANPACIFICISLAND,LEPASIANPACIFICISLANDRATIO,LEPOTHER,LEPOTHERRATIO,EQUITYSCORELANG,EDUGROUPPOPULATION,EDULESSTHANHS,EDULESSTHANHSRATIO,EQUITYSCOREEDU,LASTUPDATESOURCE,LASTUPDATE,ENTERPRISEID,INSANJOSE,Shape_Length,Shape_Area
50,52,06085503001,1400000US06085503001,5030.01,"Census Tract 5030.01, Santa Clara County, California",4455,1650,626,0.141,2781,0.624,80,0.018,588,0.132,380,0.085,1674,0.376,1,144254,3,98359,136250,143828,219375,190179,4,4095,183,0.045,44,0.24,60,0.328,79,0.432,0,0,1,3112,145,0.047,2,ACSDT5Y2022,2024/04/23 16:25:56+00,REF-CDTR-0000000052,Yes,19700.2072335264,18596777.8082529
51,27,06085502101,1400000US06085502101,5021.01,"Census Tract 5021.01, Santa Clara County, California",5045,2135,1080,0.214,2309,0.458,59,0.012,1232,0.244,365,0.072,2736,0.542,1,129258,3,,131591,,146250,165741,4,4837,486,0.1,87,0.179,88,0.181,306,0.63,5,0.01,1,3667,174,0.047,2,ACSDT5Y2022,2024/04/23 16:25:30+00,REF-CDTR-0000000027,Yes,21012.1118836458,20606221.236903
52,198,06085505901,1400000US06085505901,5059.01,"Census Tract 5059.01, Santa Clara County, California",4153,1595,299,0.072,2183,0.526,0,0,1395,0.336,276,0.066,1970,0.474,1,169421,2,,,,215119,,3,3917,463,0.118,110,0.238,0,0,337,0.728,16,0.035,2,3139,151,0.048,2,ACSDT5Y2022,2024/04/23 16:27:04+00,REF-CDTR-0000000198,Partial,17760.3300141516,13662451.6931434
53,381,06085512059,1400000US06085512059,5120.59,"Census Tract 5120.59, Santa Clara County, California",6927,2220,1731,0.25,2594,0.374,156,0.023,1955,0.282,491,0.071,4333,0.626,2,148700,3,166042,133568,,190508,83571,5,6591,831,0.126,270,0.325,81,0.097,446,0.537,34,0.041,2,4738,226,0.048,2,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000381,Yes,25159.7888313112,25398778.2429288
54,181,06085505014,1400000US06085505014,5050.14,"Census Tract 5050.14, Santa Clara County, California",6023,2560,1343,0.223,1064,0.177,183,0.03,3167,0.526,266,0.044,4959,0.823,3,137273,3,88750,122500,,158510,62019,6,5541,1179,0.213,301,0.255,142,0.12,646,0.548,90,0.076,3,4721,236,0.05,2,ACSDT5Y2022,2024/04/23 16:26:59+00,REF-CDTR-0000000181,Yes,17382.9342602638,12137544.2967208
55,44,06085502901,1400000US06085502901,5029.01,"Census Tract 5029.01, Santa Clara County, California",6213,2155,1532,0.247,3136,0.505,67,0.011,1149,0.185,329,0.053,3077,0.495,1,151010,3,87500,156838,,250000,285230,4,5881,963,0.164,352,0.366,468,0.486,143,0.148,0,0,2,4281,216,0.05,2,ACSDT5Y2022,2024/04/23 16:25:50+00,REF-CDTR-0000000044,Yes,21095.8957520266,20261458.6611936
56,40,06085502701,1400000US06085502701,5027.01,"Census Tract 5027.01, Santa Clara County, California",5611,2081,1274,0.227,2358,0.42,186,0.033,1345,0.24,448,0.08,3253,0.58,2,136691,3,95365,135694,,250000,64420,5,5139,525,0.102,102,0.194,171,0.326,219,0.417,33,0.063,1,3786,193,0.051,2,ACSDT5Y2022,2024/04/23 16:25:46+00,REF-CDTR-0000000040,Yes,19760.8581548421,18778169.7311281
57,47,06085502906,1400000US06085502906,5029.06,"Census Tract 5029.06, Santa Clara County, California",4995,1625,870,0.174,2467,0.494,137,0.027,1192,0.239,329,0.066,2528,0.506,1,122356,4,119813,121750,,156375,112031,5,4663,578,0.124,83,0.144,159,0.275,290,0.502,46,0.08,2,3469,183,0.053,2,ACSDT5Y2022,2024/04/23 16:25:53+00,REF-CDTR-0000000047,Yes,16489.400138356,16621523.6414921
58,69,06085503127,1400000US06085503127,5031.27,"Census Tract 5031.27, Santa Clara County, California",4723,2047,684,0.145,1186,0.251,184,0.039,2463,0.521,206,0.044,3537,0.749,3,159375,2,85278,113378,80651,189797,114583,5,4544,1053,0.232,212,0.201,83,0.079,676,0.642,82,0.078,3,3747,205,0.055,2,ACSDT5Y2022,2024/04/23 16:26:10+00,REF-CDTR-0000000069,Yes,27713.304599848,31500444.5252644
59,50,06085502909,1400000US06085502909,5029.09,"Census Tract 5029.09, Santa Clara County, California",4918,2016,1805,0.367,1939,0.394,79,0.016,933,0.19,162,0.033,2979,0.606,2,116596,4,107241,121250,,152143,199971,6,4550,595,0.131,226,0.38,146,0.245,179,0.301,44,0.074,2,3487,192,0.055,2,ACSDT5Y2022,2024/04/23 16:25:54+00,REF-CDTR-0000000050,Yes,18002.2911356726,13893019.5368432
60,136,06085504311,1400000US06085504311,5043.11,"Census Tract 5043.11, Santa Clara County, California",8064,2999,621,0.077,723,0.09,46,0.006,6387,0.792,287,0.036,7341,0.91,4,167277,2,63214,194330,,175000,145938,6,7612,2175,0.286,50,0.023,90,0.041,2035,0.936,0,0,4,5861,325,0.055,2,ACSDT5Y2022,2024/04/23 16:26:38+00,REF-CDTR-0000000136,Yes,20627.6703081915,23425425.6904368
61,358,06085512026,1400000US06085512026,5120.26,"Census Tract 5120.26, Santa Clara County, California",3680,1274,1211,0.329,805,0.219,162,0.044,1301,0.354,201,0.055,2875,0.781,3,117162,4,131484,93897,,163958,328198,7,3592,611,0.17,158,0.259,119,0.195,303,0.496,31,0.051,3,2640,151,0.057,2,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000358,Yes,20852.3820007469,23748703.8399056
62,347,06085511916,1400000US06085511916,5119.16,"Census Tract 5119.16, Santa Clara County, California",4463,1549,584,0.131,1988,0.445,172,0.039,1461,0.327,258,0.058,2475,0.555,1,191458,1,167583,185714,,232083,,2,4206,531,0.126,31,0.058,165,0.311,308,0.58,27,0.051,2,2847,163,0.057,2,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000347,Yes,19300.0744014704,19790274.5873687
63,363,06085512032,1400000US06085512032,5120.32,"Census Tract 5120.32, Santa Clara County, California",3314,1148,1036,0.313,1069,0.323,59,0.018,940,0.284,210,0.063,2245,0.677,2,153947,2,170862,152222,,,221786,4,3023,313,0.104,160,0.511,0,0,148,0.473,5,0.016,1,2283,132,0.058,2,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000363,Yes,28248.4117383176,31951928.3749858
64,19,06085501601,1400000US06085501601,5016.01,"Census Tract 5016.01, Santa Clara County, California",4088,1479,2040,0.499,1104,0.27,48,0.012,700,0.171,196,0.048,2984,0.73,3,112793,4,113630,117313,,91458,186459,7,3872,716,0.185,529,0.739,8,0.011,49,0.068,130,0.182,3,2260,132,0.058,2,ACSDT5Y2022,2024/04/23 16:25:23+00,REF-CDTR-0000000019,Yes,17131.5598916766,8414873.55619585
